class_cat,seq_name,class_id,qp,msr,mAP,IDF1,IDP,IDR,Rcll,Prcn,GT,MT,PT,ML,FP,FN,IDs,FM,MOTA,MOTP,IDt,IDa,IDm,num_matches,num_detections,num_objects,num_predictions,idtp,idfp,idfn
ClassB,Kimono,26,42,64,0.0,0.0,nan,0.0,0.0,nan,1,0,0,1,0,122,0,0,0.0,nan,0,0,0,0,0,122,0,0.0,0.0,122.0
ClassB,Kimono,all,42,64,50.0,46.9,59.6,38.7,64.9,100.0,2,1,0,1,0,127,1,1,64.6,0.134,0,1,0,234,235,362,235,140.0,95.0,222.0
ClassB,Kimono,0,46,8,54.05632471567854,58.9,59.6,58.3,97.9,100.0,1,1,0,0,0,5,1,1,97.5,0.136,0,1,0,234,235,240,235,140.0,95.0,100.0
ClassB,Kimono,26,46,8,0.0,0.0,nan,0.0,0.0,nan,1,0,0,1,0,122,0,0,0.0,nan,0,0,0,0,0,122,0,0.0,0.0,122.0
ClassB,Kimono,all,46,8,50.0,46.9,59.6,38.7,64.9,100.0,2,1,0,1,0,127,1,1,64.6,0.136,0,1,0,234,235,362,235,140.0,95.0,222.0
ClassB,Kimono,0,46,16,53.032433523529185,58.9,59.6,58.3,97.9,100.0,1,1,0,0,0,5,1,1,97.5,0.139,0,1,0,234,235,240,235,140.0,95.0,100.0
ClassB,Kimono,26,46,16,0.0,0.0,nan,0.0,0.0,nan,1,0,0,1,0,122,0,0,0.0,nan,0,0,0,0,0,122,0,0.0,0.0,122.0
ClassB,Kimono,all,46,16,50.0,46.9,59.6,38.7,64.9,100.0,2,1,0,1,0,127,1,1,64.6,0.139,0,1,0,234,235,362,235,140.0,95.0,222.0
ClassB,Kimono,0,46,32,57.62316620582057,58.9,59.6,58.3,97.9,100.0,1,1,0,0,0,5,1,1,97.5,0.139,0,1,0,234,235,240,235,140.0,95.0,100.0
ClassB,Kimono,26,46,32,0.0,0.0,nan,0.0,0.0,nan,1,0,0,1,0,122,0,0,0.0,nan,0,0,0,0,0,122,0,0.0,0.0,122.0
ClassB,Kimono,all,46,32,50.0,46.9,59.6,38.7,64.9,100.0,2,1,0,1,0,127,1,1,64.6,0.139,0,1,0,234,235,362,235,140.0,95.0,222.0
ClassB,Kimono,0,46,64,56.64290760652434,58.9,59.6,58.3,97.9,100.0,1,1,0,0,0,5,1,1,97.5,0.138,0,1,0,234,235,240,235,140.0,95.0,100.0
ClassB,Kimono,26,46,64,0.0,0.0,nan,0.0,0.0,nan,1,0,0,1,0,122,0,0,0.0,nan,0,0,0,0,0,122,0,0.0,0.0,122.0
ClassB,Kimono,all,46,64,49.9982782369146,46.9,59.6,38.7,64.9,100.0,2,1,0,1,0,127,1,1,64.6,0.138,0,1,0,234,235,362,235,140.0,95.0,222.0
ClassB,ParkScene,0,18,8,88.24213885178584,63.0,70.6,56.4,78.4,99.6,3,2,1,0,2,122,8,12,76.7,0.154,1,7,0,436,444,566,446,319.0,133.0,247.0
ClassB,ParkScene,1,18,8,96.2261460493913,91.9,95.3,88.8,90.3,97.0,3,3,0,0,9,31,1,2,87.2,0.197,0,1,0,288,289,320,298,284.0,14.0,36.0
ClassB,ParkScene,13,18,8,25.08095593789481,9.5,50.8,5.2,8.9,91.7,4,0,1,3,5,560,3,5,7.6,0.286,0,3,0,52,55,615,60,32.0,31.0,583.0
ClassB,ParkScene,all,18,8,69.84974694635731,55.1,78.1,42.3,52.5,98.0,10,5,2,3,16,713,12,19,50.6,0.179,1,11,0,776,788,1501,804,635.0,178.0,866.0
ClassB,ParkScene,0,18,16,88.25005044866326,62.9,70.8,56.0,77.7,99.5,3,2,1,0,2,126,8,12,76.0,0.155,1,7,0,432,440,566,442,317.0,131.0,249.0
ClassB,ParkScene,1,18,16,96.46707062540146,91.8,95.0,88.8,90.6,97.0,3,3,0,0,9,30,1,2,87.5,0.198,0,1,0,289,290,320,299,284.0,15.0,36.0
