seq_name,conf_thres,iou_thres,img_size,IDF1,IDP,IDR,Rcll,Prcn,GT,MT,PT,ML,FP,FN,IDs,FM,MOTA,MOTP,IDt,IDa,IDm
ClassB_BasketballDrive_all,0.3,0.35,640,28.6,39.5,22.4,55.1,97.4,17,5,2,10,65,1952,53,69,52.4,0.187,9,43,0
ClassB_BasketballDrive_all,0.3,0.4,640,28.6,39.2,22.5,55.6,97.3,17,5,2,10,68,1928,51,69,52.9,0.189,9,41,0
ClassB_BasketballDrive_all,0.3,0.45,640,30.2,41.3,23.8,55.9,97.3,17,6,1,10,67,1914,50,68,53.3,0.189,8,41,0
ClassB_BasketballDrive_all,0.3,0.5,640,33.0,45.0,26.0,56.0,97.3,17,6,1,10,67,1910,52,70,53.3,0.188,7,44,0
ClassB_BasketballDrive_all,0.3,0.55,640,33.1,45.0,26.1,56.2,97.3,17,6,1,10,69,1903,53,69,53.4,0.189,8,45,1
ClassB_BasketballDrive_all,0.3,0.6,640,31.7,43.2,25.0,56.2,97.1,17,6,1,10,72,1905,52,69,53.3,0.189,7,45,1
ClassB_BasketballDrive_all,0.3,0.65,640,29.7,40.5,23.5,56.0,97.1,17,6,1,10,73,1910,56,72,53.1,0.188,9,47,1
ClassB_BasketballDrive_all,0.3,0.7,640,32.0,43.6,25.2,56.0,97.2,17,6,1,10,71,1913,60,72,53.0,0.187,9,50,1
ClassB_BasketballDrive_all,0.3,0.75,640,31.7,43.4,25.0,55.8,97.2,17,6,1,10,69,1920,65,74,52.7,0.187,10,54,1
ClassB_BasketballDrive_all,0.3,0.8,640,31.0,42.7,24.3,55.2,97.2,17,5,2,10,68,1945,75,83,51.9,0.186,10,63,1
ClassB_BasketballDrive_all,0.3,0.85,640,24.6,33.9,19.2,55.1,97.2,17,5,2,10,68,1953,83,91,51.6,0.188,10,73,0
ClassB_BasketballDrive_all,0.3,0.9,640,21.7,30.2,16.9,53.6,96.0,17,5,2,10,96,2017,118,121,48.7,0.185,10,104,0
ClassB_BasketballDrive_all,0.35,0.1,640,18.7,32.8,13.1,39.3,98.8,17,0,7,10,20,2639,74,97,37.1,0.177,13,62,1
