class_cat,seq_name,class_id,qp,msr,IDF1,IDP,IDR,Rcll,Prcn,GT,MT,PT,ML,FP,FN,IDs,FM,MOTA,MOTP,IDt,IDa,IDm
ClassB,Kimono,all,18,32,47.7,60.1,39.5,65.7,100.0,2,1,0,1,0,124,1,1,65.5,0.144,0,1,0
ClassB,Kimono,0,18,64,58.9,59.6,58.3,97.9,100.0,1,1,0,0,0,5,1,1,97.5,0.138,0,1,0
ClassB,Kimono,26,18,64,3.2,100.0,1.6,1.6,100.0,1,0,0,1,0,120,0,0,1.6,0.308,0,0,0
ClassB,Kimono,all,18,64,47.4,59.9,39.2,65.5,100.0,2,1,0,1,0,125,1,1,65.2,0.140,0,1,0
ClassB,Kimono,0,22,16,58.9,59.6,58.3,97.9,100.0,1,1,0,0,0,5,1,1,97.5,0.139,0,1,0
ClassB,Kimono,26,22,16,3.2,100.0,1.6,1.6,100.0,1,0,0,1,0,120,0,0,1.6,0.074,0,0,0
ClassB,Kimono,all,22,16,47.4,59.9,39.2,65.5,100.0,2,1,0,1,0,125,1,1,65.2,0.139,0,1,0
ClassB,Kimono,0,22,32,58.9,59.6,58.3,97.9,100.0,1,1,0,0,0,5,1,1,97.5,0.139,0,1,0
ClassB,Kimono,26,22,32,3.2,66.7,1.6,2.5,100.0,1,0,0,1,0,119,1,1,1.6,0.147,0,1,0
ClassB,Kimono,all,22,32,47.3,59.7,39.2,65.7,100.0,2,1,0,1,0,124,2,2,65.2,0.139,0,2,0
ClassB,Kimono,0,22,64,58.9,59.6,58.3,97.9,100.0,1,1,0,0,0,5,1,1,97.5,0.138,0,1,0
ClassB,Kimono,26,22,64,6.3,100.0,3.3,3.3,100.0,1,0,0,1,0,118,0,0,3.3,0.117,0,0,0
ClassB,Kimono,all,22,64,47.9,60.3,39.8,66.0,100.0,2,1,0,1,0,123,1,1,65.7,0.138,0,1,0
ClassB,Kimono,0,26,16,58.9,59.6,58.3,97.9,100.0,1,1,0,0,0,5,1,1,97.5,0.139,0,1,0
ClassB,Kimono,26,26,16,0.0,nan,0.0,0.0,nan,1,0,0,1,0,122,0,0,0.0,nan,0,0,0
ClassB,Kimono,all,26,16,46.9,59.6,38.7,64.9,100.0,2,1,0,1,0,127,1,1,64.6,0.139,0,1,0
ClassB,Kimono,0,26,32,58.9,59.6,58.3,97.9,100.0,1,1,0,0,0,5,1,1,97.5,0.138,0,1,0
ClassB,Kimono,26,26,32,0.0,nan,0.0,0.0,nan,1,0,0,1,0,122,0,0,0.0,nan,0,0,0
ClassB,Kimono,all,26,32,46.9,59.6,38.7,64.9,100.0,2,1,0,1,0,127,1,1,64.6,0.138,0,1,0
