,class_cat,seq_name,class_id,qp,msr,IDF1,IDP,IDR,Rcll,Prcn,GT,MT,PT,ML,FP,FN,IDs,FM,MOTA,MOTP,IDt,IDa,IDm,num_matches,num_detections,num_objects,num_predictions,idtp,idfp,idfn
74,ClassB,Cactus,58,26,16,30.0,35.0,26.2,63.2,84.5,1,0,1,0,58,184,7,14,50.2,0.124,0,7,0,309,316,500,374,131.0,243.0,369.0
75,ClassB,Cactus,all,26,16,30.0,35.0,26.2,63.2,84.5,1,0,1,0,58,184,7,14,50.2,0.124,0,7,0,309,316,500,374,131.0,243.0,369.0
72,ClassB,Cactus,58,26,32,30.2,35.7,26.2,63.2,86.1,1,0,1,0,51,184,7,11,51.6,0.122,0,7,0,309,316,500,367,131.0,236.0,369.0
73,ClassB,Cactus,all,26,32,30.2,35.7,26.2,63.2,86.1,1,0,1,0,51,184,7,11,51.6,0.122,0,7,0,309,316,500,367,131.0,236.0,369.0
74,ClassB,Cactus,58,26,64,26.7,31.7,23.0,58.4,80.4,1,0,1,0,71,208,9,14,42.4,0.121,0,9,0,283,292,500,363,115.0,248.0,385.0
75,ClassB,Cactus,all,26,64,26.7,31.7,23.0,58.4,80.4,1,0,1,0,71,208,9,14,42.4,0.121,0,9,0,283,292,500,363,115.0,248.0,385.0
76,ClassB,Cactus,58,30,8,29.1,35.1,24.8,61.6,87.3,1,0,1,0,45,192,7,13,51.2,0.122,0,7,0,301,308,500,353,124.0,229.0,376.0
77,ClassB,Cactus,all,30,8,29.1,35.1,24.8,61.6,87.3,1,0,1,0,45,192,7,13,51.2,0.122,0,7,0,301,308,500,353,124.0,229.0,376.0
78,ClassB,Cactus,58,30,16,14.8,18.5,12.4,60.6,90.2,1,0,1,0,33,197,9,16,52.2,0.127,0,9,0,294,303,500,336,62.0,274.0,438.0
79,ClassB,Cactus,all,30,16,14.8,18.5,12.4,60.6,90.2,1,0,1,0,33,197,9,16,52.2,0.127,0,9,0,294,303,500,336,62.0,274.0,438.0
76,ClassB,Cactus,58,30,32,20.6,25.4,17.4,60.6,88.3,1,0,1,0,40,197,8,16,51.0,0.129,0,8,0,295,303,500,343,87.0,256.0,413.0
77,ClassB,Cactus,all,30,32,20.6,25.4,17.4,60.6,88.3,1,0,1,0,40,197,8,16,51.0,0.129,0,8,0,295,303,500,343,87.0,256.0,413.0
78,ClassB,Cactus,58,30,64,25.6,31.9,21.4,56.6,84.5,1,0,1,0,52,217,5,15,45.2,0.125,0,5,0,278,283,500,335,107.0,228.0,393.0
79,ClassB,Cactus,all,30,64,25.6,31.9,21.4,56.6,84.5,1,0,1,0,52,217,5,15,45.2,0.125,0,5,0,278,283,500,335,107.0,228.0,393.0
80,ClassB,Cactus,58,34,8,29.5,34.3,25.8,64.0,85.1,1,0,1,0,56,180,9,15,51.0,0.128,0,9,0,311,320,500,376,129.0,247.0,371.0
81,ClassB,Cactus,all,34,8,29.5,34.3,25.8,64.0,85.1,1,0,1,0,56,180,9,15,51.0,0.128,0,9,0,311,320,500,376,129.0,247.0,371.0
82,ClassB,Cactus,58,34,16,25.6,30.6,22.0,64.2,89.4,1,0,1,0,38,179,8,13,55.0,0.128,0,8,0,313,321,500,359,110.0,249.0,390.0
83,ClassB,Cactus,all,34,16,25.6,30.6,22.0,64.2,89.4,1,0,1,0,38,179,8,13,55.0,0.128,0,8,0,313,321,500,359,110.0,249.0,390.0
80,ClassB,Cactus,58,34,32,21.9,26.5,18.6,60.8,86.6,1,0,1,0,47,196,9,11,49.6,0.121,0,9,0,295,304,500,351,93.0,258.0,407.0
81,ClassB,Cactus,all,34,32,21.9,26.5,18.6,60.8,86.6,1,0,1,0,47,196,9,11,49.6,0.121,0,9,0,295,304,500,351,93.0,258.0,407.0
82,ClassB,Cactus,58,34,64,14.7,18.0,12.4,61.8,89.6,1,0,1,0,36,191,8,10,53.0,0.125,0,8,0,301,309,500,345,62.0,283.0,438.0
83,ClassB,Cactus,all,34,64,14.7,18.0,12.4,61.8,89.6,1,0,1,0,36,191,8,10,53.0,0.125,0,8,0,301,309,500,345,62.0,283.0,438.0
84,ClassB,Cactus,58,38,8,27.2,31.5,24.0,68.8,90.3,1,0,1,0,37,156,8,11,59.8,0.123,0,8,0,336,344,500,381,120.0,261.0,380.0
85,ClassB,Cactus,all,38,8,27.2,31.5,24.0,68.8,90.3,1,0,1,0,37,156,8,11,59.8,0.123,0,8,0,336,344,500,381,120.0,261.0,380.0
86,ClassB,Cactus,58,38,16,27.0,32.9,22.8,65.4,94.5,1,0,1,0,19,173,8,17,60.0,0.132,0,8,0,319,327,500,346,114.0,232.0,386.0
87,ClassB,Cactus,all,38,16,27.0,32.9,22.8,65.4,94.5,1,0,1,0,19,173,8,17,60.0,0.132,0,8,0,319,327,500,346,114.0,232.0,386.0
84,ClassB,Cactus,58,38,32,21.5,24.7,19.0,69.2,89.9,1,0,1,0,39,154,5,14,60.4,0.134,0,5,0,341,346,500,385,95.0,290.0,405.0
85,ClassB,Cactus,all,38,32,21.5,24.7,19.0,69.2,89.9,1,0,1,0,39,154,5,14,60.4,0.134,0,5,0,341,346,500,385,95.0,290.0,405.0
86,ClassB,Cactus,58,38,64,30.8,36.2,26.8,62.0,83.8,1,0,1,0,60,190,6,15,48.8,0.131,0,6,0,304,310,500,370,134.0,236.0,366.0
87,ClassB,Cactus,all,38,64,30.8,36.2,26.8,62.0,83.8,1,0,1,0,60,190,6,15,48.8,0.131,0,6,0,304,310,500,370,134.0,236.0,366.0
88,ClassB,Cactus,58,42,8,28.6,35.7,23.8,55.6,83.5,1,0,1,0,55,222,8,14,43.0,0.13,0,8,0,270,278,500,333,119.0,214.0,381.0
89,ClassB,Cactus,all,42,8,28.6,35.7,23.8,55.6,83.5,1,0,1,0,55,222,8,14,43.0,0.13,0,8,0,270,278,500,333,119.0,214.0,381.0
90,ClassB,Cactus,58,42,16,22.5,30.7,17.8,49.8,85.9,1,0,1,0,41,251,10,19,39.6,0.139,0,10,0,239,249,500,290,89.0,201.0,411.0
91,ClassB,Cactus,all,42,16,22.5,30.7,17.8,49.8,85.9,1,0,1,0,41,251,10,19,39.6,0.139,0,10,0,239,249,500,290,89.0,201.0,411.0
88,ClassB,Cactus,58,42,32,27.0,33.5,22.6,51.6,76.6,1,0,1,0,79,242,5,10,34.8,0.125,0,5,0,253,258,500,337,113.0,224.0,387.0
89,ClassB,Cactus,all,42,32,27.0,33.5,22.6,51.6,76.6,1,0,1,0,79,242,5,10,34.8,0.125,0,5,0,253,258,500,337,113.0,224.0,387.0
90,ClassB,Cactus,58,42,64,25.3,33.2,20.4,50.0,81.4,1,0,1,0,57,250,8,12,37.0,0.14,0,8,0,242,250,500,307,102.0,205.0,398.0
91,ClassB,Cactus,all,42,64,25.3,33.2,20.4,50.0,81.4,1,0,1,0,57,250,8,12,37.0,0.14,0,8,0,242,250,500,307,102.0,205.0,398.0
92,ClassB,Cactus,58,46,8,11.5,20.4,8.0,26.8,68.4,1,0,1,0,62,366,6,10,13.2,0.155,0,6,0,128,134,500,196,40.0,156.0,460.0
93,ClassB,Cactus,all,46,8,11.5,20.4,8.0,26.8,68.4,1,0,1,0,62,366,6,10,13.2,0.155,0,6,0,128,134,500,196,40.0,156.0,460.0
94,ClassB,Cactus,58,46,16,18.4,26.9,14.0,29.2,56.2,1,0,1,0,114,354,6,12,5.2,0.164,0,6,0,140,146,500,260,70.0,190.0,430.0
95,ClassB,Cactus,all,46,16,18.4,26.9,14.0,29.2,56.2,1,0,1,0,114,354,6,12,5.2,0.164,0,6,0,140,146,500,260,70.0,190.0,430.0
92,ClassB,Cactus,58,46,32,22.3,35.8,16.2,30.8,68.1,1,0,1,0,72,346,3,8,15.8,0.145,0,3,0,151,154,500,226,81.0,145.0,419.0
93,ClassB,Cactus,all,46,32,22.3,35.8,16.2,30.8,68.1,1,0,1,0,72,346,3,8,15.8,0.145,0,3,0,151,154,500,226,81.0,145.0,419.0
94,ClassB,Cactus,58,46,64,10.0,16.2,7.2,26.4,59.5,1,0,1,0,90,368,6,8,7.2,0.152,0,6,0,126,132,500,222,36.0,186.0,464.0
95,ClassB,Cactus,all,46,64,10.0,16.2,7.2,26.4,59.5,1,0,1,0,90,368,6,8,7.2,0.152,0,6,0,126,132,500,222,36.0,186.0,464.0
96,ClassB,Kimono,0,18,8,58.9,59.6,58.3,97.9,100.0,1,1,0,0,0,5,1,1,97.5,0.14,0,1,0,234,235,240,235,140.0,95.0,100.0
97,ClassB,Kimono,26,18,8,1.6,50.0,0.8,1.6,100.0,1,0,0,1,0,120,1,1,0.8,0.221,0,1,0,1,2,122,2,1.0,1.0,121.0
98,ClassB,Kimono,all,18,8,47.1,59.5,39.0,65.5,100.0,2,1,0,1,0,125,2,2,64.9,0.14,0,2,0,235,237,362,237,141.0,96.0,221.0
99,ClassB,Kimono,0,18,16,58.9,59.6,58.3,97.9,100.0,1,1,0,0,0,5,1,1,97.5,0.141,0,1,0,234,235,240,235,140.0,95.0,100.0
100,ClassB,Kimono,26,18,16,3.2,100.0,1.6,1.6,100.0,1,0,0,1,0,120,0,0,1.6,0.129,0,0,0,2,2,122,2,2.0,0.0,120.0
101,ClassB,Kimono,all,18,16,47.4,59.9,39.2,65.5,100.0,2,1,0,1,0,125,1,1,65.2,0.141,0,1,0,236,237,362,237,142.0,95.0,220.0
96,ClassB,Kimono,0,18,32,58.9,59.6,58.3,97.9,100.0,1,1,0,0,0,5,1,1,97.5,0.141,0,1,0,234,235,240,235,140.0,95.0,100.0
97,ClassB,Kimono,26,18,32,4.8,100.0,2.5,2.5,100.0,1,0,0,1,0,119,0,0,2.5,0.368,0,0,0,3,3,122,3,3.0,0.0,119.0
98,ClassB,Kimono,all,18,32,47.7,60.1,39.5,65.7,100.0,2,1,0,1,0,124,1,1,65.5,0.144,0,1,0,237,238,362,238,143.0,95.0,219.0
99,ClassB,Kimono,0,18,64,58.9,59.6,58.3,97.9,100.0,1,1,0,0,0,5,1,1,97.5,0.138,0,1,0,234,235,240,235,140.0,95.0,100.0
100,ClassB,Kimono,26,18,64,3.2,100.0,1.6,1.6,100.0,1,0,0,1,0,120,0,0,1.6,0.308,0,0,0,2,2,122,2,2.0,0.0,120.0
101,ClassB,Kimono,all,18,64,47.4,59.9,39.2,65.5,100.0,2,1,0,1,0,125,1,1,65.2,0.14,0,1,0,236,237,362,237,142.0,95.0,220.0
102,ClassB,Kimono,0,22,8,58.9,59.6,58.3,97.9,100.0,1,1,0,0,0,5,1,1,97.5,0.14,0,1,0,234,235,240,235,140.0,95.0,100.0
103,ClassB,Kimono,26,22,8,3.2,100.0,1.6,1.6,100.0,1,0,0,1,0,120,0,0,1.6,0.067,0,0,0,2,2,122,2,2.0,0.0,120.0
104,ClassB,Kimono,all,22,8,47.4,59.9,39.2,65.5,100.0,2,1,0,1,0,125,1,1,65.2,0.139,0,1,0,236,237,362,237,142.0,95.0,220.0
105,ClassB,Kimono,0,22,16,58.9,59.6,58.3,97.9,100.0,1,1,0,0,0,5,1,1,97.5,0.139,0,1,0,234,235,240,235,140.0,95.0,100.0
106,ClassB,Kimono,26,22,16,3.2,100.0,1.6,1.6,100.0,1,0,0,1,0,120,0,0,1.6,0.074,0,0,0,2,2,122,2,2.0,0.0,120.0
107,ClassB,Kimono,all,22,16,47.4,59.9,39.2,65.5,100.0,2,1,0,1,0,125,1,1,65.2,0.139,0,1,0,236,237,362,237,142.0,95.0,220.0
102,ClassB,Kimono,0,22,32,58.9,59.6,58.3,97.9,100.0,1,1,0,0,0,5,1,1,97.5,0.139,0,1,0,234,235,240,235,140.0,95.0,100.0
103,ClassB,Kimono,26,22,32,3.2,66.7,1.6,2.5,100.0,1,0,0,1,0,119,1,1,1.6,0.147,0,1,0,2,3,122,3,2.0,1.0,120.0
104,ClassB,Kimono,all,22,32,47.3,59.7,39.2,65.7,100.0,2,1,0,1,0,124,2,2,65.2,0.139,0,2,0,236,238,362,238,142.0,96.0,220.0
105,ClassB,Kimono,0,22,64,58.9,59.6,58.3,97.9,100.0,1,1,0,0,0,5,1,1,97.5,0.138,0,1,0,234,235,240,235,140.0,95.0,100.0
106,ClassB,Kimono,26,22,64,6.3,100.0,3.3,3.3,100.0,1,0,0,1,0,118,0,0,3.3,0.117,0,0,0,4,4,122,4,4.0,0.0,118.0
107,ClassB,Kimono,all,22,64,47.9,60.3,39.8,66.0,100.0,2,1,0,1,0,123,1,1,65.7,0.138,0,1,0,238,239,362,239,144.0,95.0,218.0
108,ClassB,Kimono,0,26,8,58.9,59.6,58.3,97.9,100.0,1,1,0,0,0,5,1,1,97.5,0.137,0,1,0,234,235,240,235,140.0,95.0,100.0
109,ClassB,Kimono,26,26,8,0.0,,0.0,0.0,,1,0,0,1,0,122,0,0,0.0,,0,0,0,0,0,122,0,0.0,0.0,122.0
110,ClassB,Kimono,all,26,8,46.9,59.6,38.7,64.9,100.0,2,1,0,1,0,127,1,1,64.6,0.137,0,1,0,234,235,362,235,140.0,95.0,222.0
111,ClassB,Kimono,0,26,16,58.9,59.6,58.3,97.9,100.0,1,1,0,0,0,5,1,1,97.5,0.139,0,1,0,234,235,240,235,140.0,95.0,100.0
112,ClassB,Kimono,26,26,16,0.0,,0.0,0.0,,1,0,0,1,0,122,0,0,0.0,,0,0,0,0,0,122,0,0.0,0.0,122.0
113,ClassB,Kimono,all,26,16,46.9,59.6,38.7,64.9,100.0,2,1,0,1,0,127,1,1,64.6,0.139,0,1,0,234,235,362,235,140.0,95.0,222.0
108,ClassB,Kimono,0,26,32,58.9,59.6,58.3,97.9,100.0,1,1,0,0,0,5,1,1,97.5,0.138,0,1,0,234,235,240,235,140.0,95.0,100.0
109,ClassB,Kimono,26,26,32,0.0,,0.0,0.0,,1,0,0,1,0,122,0,0,0.0,,0,0,0,0,0,122,0,0.0,0.0,122.0
110,ClassB,Kimono,all,26,32,46.9,59.6,38.7,64.9,100.0,2,1,0,1,0,127,1,1,64.6,0.138,0,1,0,234,235,362,235,140.0,95.0,222.0
111,ClassB,Kimono,0,26,64,58.9,59.6,58.3,97.9,100.0,1,1,0,0,0,5,1,1,97.5,0.141,0,1,0,234,235,240,235,140.0,95.0,100.0
112,ClassB,Kimono,26,26,64,1.6,100.0,0.8,0.8,100.0,1,0,0,1,0,121,0,0,0.8,0.069,0,0,0,1,1,122,1,1.0,0.0,121.0
113,ClassB,Kimono,all,26,64,47.2,59.7,39.0,65.2,100.0,2,1,0,1,0,126,1,1,64.9,0.141,0,1,0,235,236,362,236,141.0,95.0,221.0
114,ClassB,Kimono,0,30,8,58.9,59.6,58.3,97.9,100.0,1,1,0,0,0,5,1,1,97.5,0.138,0,1,0,234,235,240,235,140.0,95.0,100.0
115,ClassB,Kimono,26,30,8,1.6,100.0,0.8,0.8,100.0,1,0,0,1,0,121,0,0,0.8,0.333,0,0,0,1,1,122,1,1.0,0.0,121.0
116,ClassB,Kimono,all,30,8,47.2,59.7,39.0,65.2,100.0,2,1,0,1,0,126,1,1,64.9,0.139,0,1,0,235,236,362,236,141.0,95.0,221.0
117,ClassB,Kimono,0,30,16,58.9,59.6,58.3,97.9,100.0,1,1,0,0,0,5,1,1,97.5,0.136,0,1,0,234,235,240,235,140.0,95.0,100.0
118,ClassB,Kimono,26,30,16,0.0,,0.0,0.0,,1,0,0,1,0,122,0,0,0.0,,0,0,0,0,0,122,0,0.0,0.0,122.0
119,ClassB,Kimono,all,30,16,46.9,59.6,38.7,64.9,100.0,2,1,0,1,0,127,1,1,64.6,0.136,0,1,0,234,235,362,235,140.0,95.0,222.0
114,ClassB,Kimono,0,30,32,58.9,59.6,58.3,97.9,100.0,1,1,0,0,0,5,1,1,97.5,0.137,0,1,0,234,235,240,235,140.0,95.0,100.0
115,ClassB,Kimono,26,30,32,0.0,,0.0,0.0,,1,0,0,1,0,122,0,0,0.0,,0,0,0,0,0,122,0,0.0,0.0,122.0
116,ClassB,Kimono,all,30,32,46.9,59.6,38.7,64.9,100.0,2,1,0,1,0,127,1,1,64.6,0.137,0,1,0,234,235,362,235,140.0,95.0,222.0
117,ClassB,Kimono,0,30,64,58.9,59.6,58.3,97.9,100.0,1,1,0,0,0,5,1,1,97.5,0.137,0,1,0,234,235,240,235,140.0,95.0,100.0
118,ClassB,Kimono,26,30,64,0.0,,0.0,0.0,,1,0,0,1,0,122,0,0,0.0,,0,0,0,0,0,122,0,0.0,0.0,122.0
119,ClassB,Kimono,all,30,64,46.9,59.6,38.7,64.9,100.0,2,1,0,1,0,127,1,1,64.6,0.137,0,1,0,234,235,362,235,140.0,95.0,222.0
120,ClassB,Kimono,0,34,8,58.9,59.6,58.3,97.9,100.0,1,1,0,0,0,5,1,1,97.5,0.137,0,1,0,234,235,240,235,140.0,95.0,100.0
121,ClassB,Kimono,26,34,8,0.0,,0.0,0.0,,1,0,0,1,0,122,0,0,0.0,,0,0,0,0,0,122,0,0.0,0.0,122.0
122,ClassB,Kimono,all,34,8,46.9,59.6,38.7,64.9,100.0,2,1,0,1,0,127,1,1,64.6,0.137,0,1,0,234,235,362,235,140.0,95.0,222.0
123,ClassB,Kimono,0,34,16,58.9,59.6,58.3,97.9,100.0,1,1,0,0,0,5,1,1,97.5,0.139,0,1,0,234,235,240,235,140.0,95.0,100.0
124,ClassB,Kimono,26,34,16,0.0,0.0,0.0,0.0,0.0,1,0,0,1,1,122,0,0,-0.8,,0,0,0,0,0,122,1,0.0,1.0,122.0
125,ClassB,Kimono,all,34,16,46.8,59.3,38.7,64.9,99.6,2,1,0,1,1,127,1,1,64.4,0.139,0,1,0,234,235,362,236,140.0,96.0,222.0
120,ClassB,Kimono,0,34,32,58.9,59.6,58.3,97.9,100.0,1,1,0,0,0,5,1,1,97.5,0.137,0,1,0,234,235,240,235,140.0,95.0,100.0
121,ClassB,Kimono,26,34,32,0.0,,0.0,0.0,,1,0,0,1,0,122,0,0,0.0,,0,0,0,0,0,122,0,0.0,0.0,122.0
122,ClassB,Kimono,all,34,32,46.9,59.6,38.7,64.9,100.0,2,1,0,1,0,127,1,1,64.6,0.137,0,1,0,234,235,362,235,140.0,95.0,222.0
123,ClassB,Kimono,0,34,64,58.9,59.6,58.3,97.9,100.0,1,1,0,0,0,5,1,1,97.5,0.134,0,1,0,234,235,240,235,140.0,95.0,100.0
124,ClassB,Kimono,26,34,64,0.0,,0.0,0.0,,1,0,0,1,0,122,0,0,0.0,,0,0,0,0,0,122,0,0.0,0.0,122.0
125,ClassB,Kimono,all,34,64,46.9,59.6,38.7,64.9,100.0,2,1,0,1,0,127,1,1,64.6,0.134,0,1,0,234,235,362,235,140.0,95.0,222.0
126,ClassB,Kimono,0,38,8,58.9,59.6,58.3,97.9,100.0,1,1,0,0,0,5,1,1,97.5,0.139,0,1,0,234,235,240,235,140.0,95.0,100.0
127,ClassB,Kimono,26,38,8,0.0,0.0,0.0,0.0,0.0,1,0,0,1,2,122,0,0,-1.6,,0,0,0,0,0,122,2,0.0,2.0,122.0
128,ClassB,Kimono,all,38,8,46.7,59.1,38.7,64.9,99.2,2,1,0,1,2,127,1,1,64.1,0.139,0,1,0,234,235,362,237,140.0,97.0,222.0
129,ClassB,Kimono,0,38,16,58.9,59.6,58.3,97.9,100.0,1,1,0,0,0,5,1,1,97.5,0.137,0,1,0,234,235,240,235,140.0,95.0,100.0
130,ClassB,Kimono,26,38,16,0.0,0.0,0.0,0.0,0.0,1,0,0,1,2,122,0,0,-1.6,,0,0,0,0,0,122,2,0.0,2.0,122.0
131,ClassB,Kimono,all,38,16,46.7,59.1,38.7,64.9,99.2,2,1,0,1,2,127,1,1,64.1,0.137,0,1,0,234,235,362,237,140.0,97.0,222.0
126,ClassB,Kimono,0,38,32,58.9,59.6,58.3,97.9,100.0,1,1,0,0,0,5,1,1,97.5,0.135,0,1,0,234,235,240,235,140.0,95.0,100.0
127,ClassB,Kimono,26,38,32,0.0,0.0,0.0,0.0,0.0,1,0,0,1,2,122,0,0,-1.6,,0,0,0,0,0,122,2,0.0,2.0,122.0
128,ClassB,Kimono,all,38,32,46.7,59.1,38.7,64.9,99.2,2,1,0,1,2,127,1,1,64.1,0.135,0,1,0,234,235,362,237,140.0,97.0,222.0
129,ClassB,Kimono,0,38,64,58.9,59.6,58.3,97.9,100.0,1,1,0,0,0,5,1,1,97.5,0.136,0,1,0,234,235,240,235,140.0,95.0,100.0
130,ClassB,Kimono,26,38,64,0.0,0.0,0.0,0.0,0.0,1,0,0,1,2,122,0,0,-1.6,,0,0,0,0,0,122,2,0.0,2.0,122.0
131,ClassB,Kimono,all,38,64,46.7,59.1,38.7,64.9,99.2,2,1,0,1,2,127,1,1,64.1,0.136,0,1,0,234,235,362,237,140.0,97.0,222.0
132,ClassB,Kimono,0,42,8,58.9,59.6,58.3,97.9,100.0,1,1,0,0,0,5,1,1,97.5,0.138,0,1,0,234,235,240,235,140.0,95.0,100.0
133,ClassB,Kimono,26,42,8,0.0,,0.0,0.0,,1,0,0,1,0,122,0,0,0.0,,0,0,0,0,0,122,0,0.0,0.0,122.0
134,ClassB,Kimono,all,42,8,46.9,59.6,38.7,64.9,100.0,2,1,0,1,0,127,1,1,64.6,0.138,0,1,0,234,235,362,235,140.0,95.0,222.0
135,ClassB,Kimono,0,42,16,58.9,59.6,58.3,97.9,100.0,1,1,0,0,0,5,1,1,97.5,0.138,0,1,0,234,235,240,235,140.0,95.0,100.0
136,ClassB,Kimono,26,42,16,0.0,,0.0,0.0,,1,0,0,1,0,122,0,0,0.0,,0,0,0,0,0,122,0,0.0,0.0,122.0
137,ClassB,Kimono,all,42,16,46.9,59.6,38.7,64.9,100.0,2,1,0,1,0,127,1,1,64.6,0.138,0,1,0,234,235,362,235,140.0,95.0,222.0
132,ClassB,Kimono,0,42,32,58.9,59.6,58.3,97.9,100.0,1,1,0,0,0,5,1,1,97.5,0.138,0,1,0,234,235,240,235,140.0,95.0,100.0
133,ClassB,Kimono,26,42,32,0.0,,0.0,0.0,,1,0,0,1,0,122,0,0,0.0,,0,0,0,0,0,122,0,0.0,0.0,122.0
134,ClassB,Kimono,all,42,32,46.9,59.6,38.7,64.9,100.0,2,1,0,1,0,127,1,1,64.6,0.138,0,1,0,234,235,362,235,140.0,95.0,222.0
135,ClassB,Kimono,0,42,64,58.9,59.6,58.3,97.9,100.0,1,1,0,0,0,5,1,1,97.5,0.134,0,1,0,234,235,240,235,140.0,95.0,100.0
136,ClassB,Kimono,26,42,64,0.0,,0.0,0.0,,1,0,0,1,0,122,0,0,0.0,,0,0,0,0,0,122,0,0.0,0.0,122.0
137,ClassB,Kimono,all,42,64,46.9,59.6,38.7,64.9,100.0,2,1,0,1,0,127,1,1,64.6,0.134,0,1,0,234,235,362,235,140.0,95.0,222.0
138,ClassB,Kimono,0,46,8,58.9,59.6,58.3,97.9,100.0,1,1,0,0,0,5,1,1,97.5,0.136,0,1,0,234,235,240,235,140.0,95.0,100.0
139,ClassB,Kimono,26,46,8,0.0,,0.0,0.0,,1,0,0,1,0,122,0,0,0.0,,0,0,0,0,0,122,0,0.0,0.0,122.0
140,ClassB,Kimono,all,46,8,46.9,59.6,38.7,64.9,100.0,2,1,0,1,0,127,1,1,64.6,0.136,0,1,0,234,235,362,235,140.0,95.0,222.0
141,ClassB,Kimono,0,46,16,58.9,59.6,58.3,97.9,100.0,1,1,0,0,0,5,1,1,97.5,0.139,0,1,0,234,235,240,235,140.0,95.0,100.0
142,ClassB,Kimono,26,46,16,0.0,,0.0,0.0,,1,0,0,1,0,122,0,0,0.0,,0,0,0,0,0,122,0,0.0,0.0,122.0
143,ClassB,Kimono,all,46,16,46.9,59.6,38.7,64.9,100.0,2,1,0,1,0,127,1,1,64.6,0.139,0,1,0,234,235,362,235,140.0,95.0,222.0
138,ClassB,Kimono,0,46,32,58.9,59.6,58.3,97.9,100.0,1,1,0,0,0,5,1,1,97.5,0.139,0,1,0,234,235,240,235,140.0,95.0,100.0
139,ClassB,Kimono,26,46,32,0.0,,0.0,0.0,,1,0,0,1,0,122,0,0,0.0,,0,0,0,0,0,122,0,0.0,0.0,122.0
140,ClassB,Kimono,all,46,32,46.9,59.6,38.7,64.9,100.0,2,1,0,1,0,127,1,1,64.6,0.139,0,1,0,234,235,362,235,140.0,95.0,222.0
141,ClassB,Kimono,0,46,64,58.9,59.6,58.3,97.9,100.0,1,1,0,0,0,5,1,1,97.5,0.138,0,1,0,234,235,240,235,140.0,95.0,100.0
142,ClassB,Kimono,26,46,64,0.0,,0.0,0.0,,1,0,0,1,0,122,0,0,0.0,,0,0,0,0,0,122,0,0.0,0.0,122.0
143,ClassB,Kimono,all,46,64,46.9,59.6,38.7,64.9,100.0,2,1,0,1,0,127,1,1,64.6,0.138,0,1,0,234,235,362,235,140.0,95.0,222.0
144,ClassB,ParkScene,0,18,8,63.0,70.6,56.4,78.4,99.6,3,2,1,0,2,122,8,12,76.7,0.154,1,7,0,436,444,566,446,319.0,133.0,247.0
145,ClassB,ParkScene,1,18,8,91.9,95.3,88.8,90.3,97.0,3,3,0,0,9,31,1,2,87.2,0.197,0,1,0,288,289,320,298,284.0,14.0,36.0
146,ClassB,ParkScene,13,18,8,9.5,50.8,5.2,8.9,91.7,4,0,1,3,5,560,3,5,7.6,0.286,0,3,0,52,55,615,60,32.0,31.0,583.0
147,ClassB,ParkScene,all,18,8,55.1,78.1,42.3,52.5,98.0,10,5,2,3,16,713,12,19,50.6,0.179,1,11,0,776,788,1501,804,635.0,178.0,866.0
148,ClassB,ParkScene,0,18,16,62.9,70.8,56.0,77.7,99.5,3,2,1,0,2,126,8,12,76.0,0.155,1,7,0,432,440,566,442,317.0,131.0,249.0
149,ClassB,ParkScene,1,18,16,91.8,95.0,88.8,90.6,97.0,3,3,0,0,9,30,1,2,87.5,0.198,0,1,0,289,290,320,299,284.0,15.0,36.0
150,ClassB,ParkScene,13,18,16,10.6,52.9,5.9,9.9,93.8,4,0,1,3,4,554,2,6,8.9,0.293,0,2,0,59,61,615,65,36.0,32.0,579.0
151,ClassB,ParkScene,all,18,16,55.2,78.2,42.4,52.7,98.1,10,5,2,3,15,710,11,20,51.0,0.181,1,10,0,780,791,1501,806,637.0,178.0,864.0
144,ClassB,ParkScene,0,18,32,63.0,70.6,56.4,78.4,99.6,3,2,1,0,2,122,8,11,76.7,0.155,1,7,0,436,444,566,446,319.0,133.0,247.0
145,ClassB,ParkScene,1,18,32,91.9,95.3,88.8,90.6,97.3,3,3,0,0,8,30,1,2,87.8,0.199,0,1,0,289,290,320,298,284.0,14.0,36.0
146,ClassB,ParkScene,13,18,32,10.7,48.1,6.0,10.7,89.2,4,0,1,3,8,549,6,9,8.5,0.278,0,6,0,60,66,615,74,37.0,40.0,578.0
147,ClassB,ParkScene,all,18,32,55.2,77.4,42.6,53.3,97.8,10,5,2,3,18,701,15,22,51.1,0.181,1,14,0,785,800,1501,818,640.0,187.0,861.0
148,ClassB,ParkScene,0,18,64,63.4,71.0,56.7,78.4,99.6,3,2,1,0,2,122,8,12,76.7,0.155,1,7,0,436,444,566,446,321.0,131.0,245.0
149,ClassB,ParkScene,1,18,64,92.2,95.9,88.8,90.3,97.6,3,3,0,0,7,31,1,2,87.8,0.197,0,1,0,288,289,320,296,284.0,12.0,36.0
150,ClassB,ParkScene,13,18,64,9.5,50.8,5.2,8.6,88.3,4,0,1,3,7,562,6,10,6.5,0.286,0,6,0,47,53,615,60,32.0,31.0,583.0
151,ClassB,ParkScene,all,18,64,55.3,78.5,42.4,52.4,98.0,10,5,2,3,16,715,15,24,50.3,0.179,1,14,0,771,786,1501,802,637.0,174.0,864.0
152,ClassB,ParkScene,0,22,8,63.5,71.2,56.7,78.3,99.6,3,2,1,0,2,123,9,13,76.3,0.156,1,8,0,434,443,566,445,321.0,130.0,245.0
