class_cat,seq_name,class_id,qp,msr,IDF1,IDP,IDR,Rcll,Prcn,GT,MT,PT,ML,FP,FN,IDs,FM,MOTA,MOTP,IDt,IDa,IDm,num_matches,num_detections,num_objects,num_predictions,idtp,idfp,idfn
ClassB,Kimono,26,26,16,0.0,nan,0.0,0.0,nan,1,0,0,1,0,122,0,0,0.0,nan,0,0,0,0,0,122,0,0.0,0.0,122.0
ClassB,Kimono,all,26,16,46.9,59.6,38.7,64.9,100.0,2,1,0,1,0,127,1,1,64.6,0.139,0,1,0,234,235,362,235,140.0,95.0,222.0
ClassB,Kimono,0,30,8,58.9,59.6,58.3,97.9,100.0,1,1,0,0,0,5,1,1,97.5,0.138,0,1,0,234,235,240,235,140.0,95.0,100.0
ClassB,Kimono,26,30,8,1.6,100.0,0.8,0.8,100.0,1,0,0,1,0,121,0,0,0.8,0.333,0,0,0,1,1,122,1,1.0,0.0,121.0
ClassB,Kimono,all,30,8,47.2,59.7,39.0,65.2,100.0,2,1,0,1,0,126,1,1,64.9,0.139,0,1,0,235,236,362,236,141.0,95.0,221.0
ClassB,Kimono,0,30,16,58.9,59.6,58.3,97.9,100.0,1,1,0,0,0,5,1,1,97.5,0.136,0,1,0,234,235,240,235,140.0,95.0,100.0
ClassB,Kimono,26,30,16,0.0,nan,0.0,0.0,nan,1,0,0,1,0,122,0,0,0.0,nan,0,0,0,0,0,122,0,0.0,0.0,122.0
ClassB,Kimono,all,30,16,46.9,59.6,38.7,64.9,100.0,2,1,0,1,0,127,1,1,64.6,0.136,0,1,0,234,235,362,235,140.0,95.0,222.0
ClassB,Kimono,0,34,8,58.9,59.6,58.3,97.9,100.0,1,1,0,0,0,5,1,1,97.5,0.137,0,1,0,234,235,240,235,140.0,95.0,100.0
ClassB,Kimono,26,34,8,0.0,nan,0.0,0.0,nan,1,0,0,1,0,122,0,0,0.0,nan,0,0,0,0,0,122,0,0.0,0.0,122.0
ClassB,Kimono,all,34,8,46.9,59.6,38.7,64.9,100.0,2,1,0,1,0,127,1,1,64.6,0.137,0,1,0,234,235,362,235,140.0,95.0,222.0
ClassB,Kimono,0,34,16,58.9,59.6,58.3,97.9,100.0,1,1,0,0,0,5,1,1,97.5,0.139,0,1,0,234,235,240,235,140.0,95.0,100.0
ClassB,Kimono,26,34,16,0.0,0.0,0.0,0.0,0.0,1,0,0,1,1,122,0,0,-0.8,nan,0,0,0,0,0,122,1,0.0,1.0,122.0
ClassB,Kimono,all,34,16,46.8,59.3,38.7,64.9,99.6,2,1,0,1,1,127,1,1,64.4,0.139,0,1,0,234,235,362,236,140.0,96.0,222.0
ClassB,Kimono,0,38,8,58.9,59.6,58.3,97.9,100.0,1,1,0,0,0,5,1,1,97.5,0.139,0,1,0,234,235,240,235,140.0,95.0,100.0
ClassB,Kimono,26,38,8,0.0,0.0,0.0,0.0,0.0,1,0,0,1,2,122,0,0,-1.6,nan,0,0,0,0,0,122,2,0.0,2.0,122.0
ClassB,Kimono,all,38,8,46.7,59.1,38.7,64.9,99.2,2,1,0,1,2,127,1,1,64.1,0.139,0,1,0,234,235,362,237,140.0,97.0,222.0
ClassB,Kimono,0,38,16,58.9,59.6,58.3,97.9,100.0,1,1,0,0,0,5,1,1,97.5,0.137,0,1,0,234,235,240,235,140.0,95.0,100.0
ClassB,Kimono,26,38,16,0.0,0.0,0.0,0.0,0.0,1,0,0,1,2,122,0,0,-1.6,nan,0,0,0,0,0,122,2,0.0,2.0,122.0
ClassB,Kimono,all,38,16,46.7,59.1,38.7,64.9,99.2,2,1,0,1,2,127,1,1,64.1,0.137,0,1,0,234,235,362,237,140.0,97.0,222.0
ClassB,Kimono,0,42,8,58.9,59.6,58.3,97.9,100.0,1,1,0,0,0,5,1,1,97.5,0.138,0,1,0,234,235,240,235,140.0,95.0,100.0
ClassB,Kimono,26,42,8,0.0,nan,0.0,0.0,nan,1,0,0,1,0,122,0,0,0.0,nan,0,0,0,0,0,122,0,0.0,0.0,122.0
ClassB,Kimono,all,42,8,46.9,59.6,38.7,64.9,100.0,2,1,0,1,0,127,1,1,64.6,0.138,0,1,0,234,235,362,235,140.0,95.0,222.0
ClassB,Kimono,0,42,16,58.9,59.6,58.3,97.9,100.0,1,1,0,0,0,5,1,1,97.5,0.138,0,1,0,234,235,240,235,140.0,95.0,100.0
ClassB,Kimono,26,42,16,0.0,nan,0.0,0.0,nan,1,0,0,1,0,122,0,0,0.0,nan,0,0,0,0,0,122,0,0.0,0.0,122.0
ClassB,Kimono,all,42,16,46.9,59.6,38.7,64.9,100.0,2,1,0,1,0,127,1,1,64.6,0.138,0,1,0,234,235,362,235,140.0,95.0,222.0
ClassB,Kimono,0,46,8,58.9,59.6,58.3,97.9,100.0,1,1,0,0,0,5,1,1,97.5,0.136,0,1,0,234,235,240,235,140.0,95.0,100.0
ClassB,Kimono,26,46,8,0.0,nan,0.0,0.0,nan,1,0,0,1,0,122,0,0,0.0,nan,0,0,0,0,0,122,0,0.0,0.0,122.0
ClassB,Kimono,all,46,8,46.9,59.6,38.7,64.9,100.0,2,1,0,1,0,127,1,1,64.6,0.136,0,1,0,234,235,362,235,140.0,95.0,222.0
ClassB,Kimono,0,46,16,58.9,59.6,58.3,97.9,100.0,1,1,0,0,0,5,1,1,97.5,0.139,0,1,0,234,235,240,235,140.0,95.0,100.0
ClassB,Kimono,26,46,16,0.0,nan,0.0,0.0,nan,1,0,0,1,0,122,0,0,0.0,nan,0,0,0,0,0,122,0,0.0,0.0,122.0
